Codeblock,minflt,majflt,utime,stime,num_threads,vsize,rss,processor,stack_size,rchar,wchar,read_bytes,write_bytes,canceled_write_bytes,num_file_desc,nicRcvBytes,nicRcvPckts,nicSentBytes,nicSentPckts,IPInTruncatedPkts,IPInOctets,IPOutOctets
executing the hack to temporarily suspend debug builds_host,3241,0,5,1,1,180232192,1309,3,140519468089453,538669,3069,0,118784,0,5,21542400999,83675617,32688878912,25225837,0,17990034329,31300299334
checking out from CVS_network,3886,0,5,2,1,180232192,1309,2,140519468089453,570158,3729,0,139264,0,6,21542401871,83675626,32688881798,25225842,0,17990039475,31300317318
getting the list of regression tests to run_host,4819,0,6,3,1,180232192,1309,2,140519468113120,1441638591,1120830689,0,883425280,40411136,6,21904218431,83956485,32771867034,25324525,0,18337665937,31379076636
filtering the list of tests based on the group and test parameters_network,5003,0,7,3,1,180232192,1309,1,140519468089453,1442390855,1121386597,0,883978240,40411136,6,21904223307,83956528,32771871262,25324535,0,18337670845,31379081172
checking if there is a more critical commit we could work on_network,5006,0,7,3,1,180232192,1309,1,140519468089453,1442390855,1121386690,0,883982336,40411136,6,21904224931,83956538,32771871554,25324537,0,18337672918,31379083901
disconnecting from the database_network,5006,0,7,3,1,180232192,1309,1,140519468089453,1442390855,1121386690,0,883982336,40411136,6,21904226431,83956548,32771873816,25324542,0,18337673574,31379083953
running two hacks to avoid problems with ISS750 regressions and Cell MFC tests that have simdebug instruction set_host,5006,0,7,3,1,180232192,1309,1,140519468089453,1442390855,1121386754,0,883986432,40411136,5,21904232690,83956585,32771876084,25324546,0,18337679898,31379086362
running another simple hack to avoid running tsts on debug builds_host,5166,0,7,4,1,180232192,1311,0,140519468089453,1442392812,1121387120,0,884002816,40411136,6,21904239103,83956612,32771878554,25324551,0,18337686381,31379098770
checking if there is a more critical commit we could work on_network,5282,0,7,4,1,180232192,1311,3,140519468089453,1442404769,1121387270,0,884011008,40411136,6,21904250925,83956678,32771891630,25324573,0,18337697403,31379106906
disconnecting from the database_network,5283,0,7,4,1,180232192,1311,3,140519468089453,1442404769,1121387334,0,884015104,40411136,5,21904253307,83956688,32771894412,25324578,0,18337699294,31379109875
running two hacks to avoid problems with ISS750 regressions and Cell MFC tests that have simdebug instruction set_host,5283,0,7,4,1,180232192,1311,3,140519468089453,1442404769,1121387477,0,884019200,40411136,5,21904254243,83956698,32771897258,25324583,0,18337700048,31379112775
running another simple hack to avoid running tsts on debug builds_host,5440,0,7,4,1,180232192,1312,0,140519468089453,1442406726,1121387738,0,884031488,40411136,6,21904256458,83956709,32771900248,25324588,0,18337702847,31379123399
checking if there is a more critical commit we could work on_network,5555,0,8,4,1,180232192,1312,2,140519468089453,1442418683,1121387888,0,884039680,40411136,6,21904265901,83956764,32771914280,25324606,0,18337712407,31379132484
disconnecting from the database_network,5556,0,8,4,1,180232192,1312,2,140519468089453,1442418683,1121387952,0,884043776,40411136,5,21904267262,83956773,32771917602,25324611,0,18337713937,31379135993
running two hacks to avoid problems with ISS750 regressions and Cell MFC tests that have simdebug instruction set_host,5556,0,8,4,1,180232192,1312,2,140519468089453,1442418683,1121388095,0,884047872,40411136,5,21904268844,83956786,32771920988,25324616,0,18337714623,31379139429
running another simple hack to avoid running tsts on debug builds_host,5564,0,8,4,1,180232192,1312,0,140519468113120,1442418683,1121388190,0,884051968,40411136,6,21904270382,83956797,32771924872,25324624,0,18337716780,31379148017
checking if there is a more critical commit we could work on_network,5828,0,8,4,1,180232192,1312,2,140519468089453,1442432597,1121388468,0,884068352,40411136,6,21904278762,83956839,32771944814,25324651,0,18337725474,31379161796
disconnecting from the database_network,5829,0,8,4,1,180232192,1312,2,140519468089453,1442432597,1121388532,0,884072448,40411136,5,21904279563,83956845,32771944884,25324652,0,18337726584,31379165821
running two hacks to avoid problems with ISS750 regressions and Cell MFC tests that have simdebug instruction set_host,5829,0,8,4,1,180232192,1312,2,140519468089453,1442432597,1121388675,0,884076544,40411136,5,21904281035,83956854,32771948856,25324658,0,18337727900,31379169777
running another simple hack to avoid running tsts on debug builds_host,5987,0,8,4,1,180232192,1312,2,140519468089453,1442434554,1121388886,0,884088832,40411136,6,21904282109,83956862,32771953264,25324666,0,18337730468,31379182805
checking if there is a more critical commit we could work on_network,6094,0,8,4,1,180232192,1312,2,140519468089453,1442446511,1121388943,0,884092928,40411136,6,21904298642,83956965,32771970668,25324686,0,18337743675,31379189137
disconnecting from the database_network,6102,0,8,4,1,180232192,1312,2,140519468089453,1442446511,1121389036,0,884097024,40411136,6,21904304538,83956993,32771975104,25324692,0,18337749448,31379194024
running two hacks to avoid problems with ISS750 regressions and Cell MFC tests that have simdebug instruction set_host,6103,0,8,4,1,180232192,1312,2,140519468089453,1442446511,1121389100,0,884101120,40411136,5,21904309643,83957017,32771979592,25324698,0,18337754796,31379198565
running another simple hack to avoid running tsts on debug builds_host,6103,0,8,4,1,180232192,1312,2,140519468089453,1442446511,1121389243,0,884105216,40411136,5,21904311999,83957026,32771984220,25324704,0,18337755654,31379203033
checking if there is a more critical commit we could work on_network,6367,0,8,5,1,180232192,1312,3,140519468089453,1442460425,1121389527,0,884125696,40411136,6,21904323028,83957083,32772004026,25324729,0,18337767297,31379224419
disconnecting from the database_network,6375,0,9,5,1,180232192,1312,3,140519468089453,1442460425,1121389620,0,884129792,40411136,6,21904323638,83957088,32772004734,25324733,0,18337768681,31379225677
running two hacks to avoid problems with ISS750 regressions and Cell MFC tests that have simdebug instruction set_host,6376,0,9,5,1,180232192,1312,3,140519468089453,1442460425,1121389684,0,884133888,40411136,5,21904324882,83957094,32772005506,25324737,0,18337769604,31379226590
running another simple hack to avoid running tsts on debug builds_host,6376,0,9,5,1,180232192,1312,3,140519468089453,1442460425,1121389827,0,884137984,40411136,5,21904327005,83957104,32772006352,25324740,0,18337771455,31379227382
checking if there is a more critical commit we could work on_network,6641,0,9,5,1,180232192,1312,2,140519468089453,1442474339,1121390133,0,884154368,40411136,6,21904337081,83957159,32772015024,25324760,0,18337781925,31379237854
disconnecting from the database_network,6649,0,9,5,1,180232192,1312,2,140519468089453,1442474339,1121390226,0,884158464,40411136,6,21904338358,83957166,32772016276,25324764,0,18337783639,31379239643
running two hacks to avoid problems with ISS750 regressions and Cell MFC tests that have simdebug instruction set_host,6650,0,9,5,1,180232192,1312,2,140519468089453,1442474339,1121390433,0,884166656,40411136,5,21904341458,83957180,32772017580,25324768,0,18337787232,31379242412
running another simple hack to avoid running tsts on debug builds_host,6807,0,9,5,1,180232192,1312,0,140519468089453,1442476296,1121390656,0,884178944,40411136,6,21904342420,83957186,32772019028,25324772,0,18337789436,31379250216
checking if there is a more critical commit we could work on_network,6922,0,9,5,1,180232192,1312,2,140519468089453,1442488253,1121390806,0,884187136,40411136,6,21904349849,83957226,32772028764,25324788,0,18337796983,31379256282
disconnecting from the database_network,6923,0,9,5,1,180232192,1312,2,140519468089453,1442488253,1121390870,0,884191232,40411136,5,21904350939,83957234,32772030524,25324792,0,18337797624,31379258247
running two hacks to avoid problems with ISS750 regressions and Cell MFC tests that have simdebug instruction set_host,6923,0,9,5,1,180232192,1312,2,140519468089453,1442488253,1121390870,0,884191232,40411136,5,21904351549,83957239,32772032348,25324796,0,18337797624,31379258299
running another simple hack to avoid running tsts on debug builds_host,6923,0,9,5,1,180232192,1312,2,140519468089453,1442488253,1121391013,0,884195328,40411136,5,21904352293,83957246,32772034382,25324801,0,18337798772,31379260243
checking the existence of lock file_host,6923,0,9,5,1,180232192,1312,2,140519468089453,1442488253,1121391108,0,884199424,40411136,5,21904353997,83957259,32772036442,25324805,0,18337799390,31379262231
checking the space in worker temp directory_host,6935,0,9,5,1,180232192,1312,0,140519468089453,1442488253,1121391173,0,884203520,40411136,5,21904356734,83957274,32772039138,25324813,0,18337801673,31379264783
running the test cases on the worker_host,6998,0,9,5,1,180232192,1312,0,140519468089453,1442498298,1121391392,0,884207616,40411136,5,21904357798,83957281,32772041408,25324818,0,18337802565,31379266963
figuring out the result of the test_host,8552,0,10,7,1,180232192,1327,2,140519468089453,3472307268,1369235086,5820416,1133699072,78082048,5,21915186816,84044130,32975083971,25468110,0,18346964665,31573580020
calculating the time it took to run the test_host,9460,0,10,8,1,180232192,1327,2,140519468089453,3472344285,1369235832,5820416,1133719552,78086144,5,21915187814,84044137,32975086797,25468115,0,18346966945,31573586308
writing the results to the results table in database_network,9549,0,10,8,1,180379648,1330,2,140519468089453,3472344285,1369235917,5820416,1133723648,78086144,6,21915191020,84044153,32975090511,25468124,0,18346971524,31573590072
commiting to the results table in the database_network,9671,0,10,8,1,180379648,1332,2,140519468089453,3472466901,1369296470,5820416,1133793280,78086144,6,21915193813,84044169,32975093197,25468129,0,18347036950,31573659812
writing the results to the metrics table in database_network,9682,0,10,8,1,180379648,1337,2,140519468089453,3472466901,1369296555,5820416,1133797376,78086144,6,21915195103,84044180,32975098915,25468138,0,18347038297,31573662716
removing the temporary directory on worker_host,9682,0,10,8,1,180379648,1337,2,140519468089453,3472466901,1369296555,5820416,1133797376,78086144,6,21915196694,84044191,32975101909,25468143,0,18347038631,31573662768
exiting from the database after writing to the results table_network,9874,0,10,8,1,180379648,1338,2,140519468089453,3472470813,1369296838,5820416,1133809664,78086144,6,21915199286,84044208,32975111431,25468156,0,18347040741,31573672398
writing the results to the summary table in database_network,9889,0,10,8,1,180379648,1338,2,140519468089453,3472470813,1369296931,5820416,1133813760,78086144,5,21915200190,84044216,32975114801,25468161,0,18347041668,31573675891
commiting to the SUMMARY table in the database_network,9945,0,10,8,1,180379648,1340,0,140519468089453,3472470813,1369297087,5820416,1133817856,78086144,6,21915201932,84044228,32975118397,25468167,0,18347046368,31573682515
exiting from the database after writing to the SUMMARY table_network,9945,0,10,8,1,180379648,1340,2,140519468089453,3472470813,1369297166,5820416,1133821952,78086144,6,21915203566,84044243,32975122073,25468173,0,18347047596,31573686217
sending a notification of the results if appropriate_network,9945,0,11,8,1,180379648,1340,2,140519468089453,3472470813,1369297259,5820416,1133826048,78086144,5,21915205666,84044265,32975125841,25468179,0,18347048961,31573690038
checking if there is a more critical commit we could work on_network,10220,0,11,8,1,180379648,1341,2,140519468089453,3472950336,1369297763,5820416,1133842432,78086144,6,21915210460,84044298,32975139621,25468205,0,18347054856,31573705381
disconnecting from the database_network,10233,0,11,8,1,180379648,1341,3,140519468089453,3472950336,1369297856,5820416,1133846528,78086144,6,21915212848,84044318,32975143773,25468211,0,18347056793,31573709972
running two hacks to avoid problems with ISS750 regressions and Cell MFC tests that have simdebug instruction set_host,10235,0,11,8,1,180379648,1341,3,140519468089453,3472950336,1369297920,5820416,1133850624,78086144,5,21915214072,84044328,32975147989,25468217,0,18347057820,31573714241
running another simple hack to avoid running tsts on debug builds_host,10235,0,11,8,1,180379648,1341,3,140519468089453,3472950336,1369298158,5820416,1133858816,78086144,5,21915216199,84044341,32975152349,25468223,0,18347060067,31573722681
checking the existence of lock file_host,10235,0,11,8,1,180379648,1341,3,140519468089453,3472950336,1369298158,5820416,1133858816,78086144,5,21915217371,84044350,32975156801,25468229,0,18347060401,31573722733
checking the space in worker temp directory_host,10248,0,11,8,1,180379648,1341,0,140519468089453,3472950336,1369298223,5820416,1133862912,78086144,5,21915218567,84044360,32975161811,25468238,0,18347061233,31573727529
running the test cases on the worker_host,10394,0,11,8,1,180379648,1343,0,140519468113120,3472960381,1369298558,5820416,1133871104,78086144,6,21915220270,84044372,32975166403,25468244,0,18347064174,31573737453
figuring out the result of the test_host,11845,0,12,10,1,180379648,1343,2,140519468089453,4744236908,1551894288,9703424,1317326848,118550528,5,21920788733,84100073,33104519416,25559658,0,18351584622,31697536310
calculating the time it took to run the test_host,11975,0,12,10,1,180379648,1343,2,140519468089453,4744241508,1551894485,9703424,1317335040,118554624,5,21920790606,84100086,33104522554,25559663,0,18351585436,31697539358
writing the results to the results table in database_network,12990,0,12,11,1,180379648,1343,0,140519468089453,4744308125,1551924836,9703424,1317384192,118558720,5,21920793786,84100110,33104530626,25559677,0,18351587724,31697547178
commiting to the results table in the database_network,13193,0,12,11,1,180379648,1343,2,140519468089453,4744430475,1551985341,9703424,1317457920,118558720,6,21920796278,84100128,33104537550,25559687,0,18351655373,31697622581
writing the results to the metrics table in database_network,13204,0,12,11,1,180379648,1343,2,140519468089453,4744430475,1551985426,9703424,1317462016,118558720,6,21920797092,84100136,33104541202,25559693,0,18351655853,31697626161
removing the temporary directory on worker_host,13416,0,12,11,1,180379648,1343,2,140519468089453,4744434387,1551985709,9703424,1317474304,118558720,6,21920799680,84100158,33104552674,25559709,0,18351657865,31697637707
exiting from the database after writing to the results table_network,13416,0,12,11,1,180379648,1343,2,140519468089453,4744434387,1551985709,9703424,1317474304,118558720,6,21920800558,84100167,33104556694,25559715,0,18351657865,31697637759
writing the results to the summary table in database_network,13474,0,12,11,1,180379648,1343,2,140519468089453,4744434387,1551985958,9703424,1317482496,118558720,6,21920801951,84100177,33104560810,25559721,0,18351662783,31697649178
commiting to the SUMMARY table in the database_network,13474,0,12,11,1,180379648,1343,3,140519468089453,4744434387,1551986037,9703424,1317486592,118558720,6,21920803619,84100191,33104565082,25559727,0,18351664915,31697653552
exiting from the database after writing to the SUMMARY table_network,13474,0,12,11,1,180379648,1343,3,140519468089453,4744434387,1551986130,9703424,1317490688,118558720,5,21920805853,84100204,33104569430,25559733,0,18351666334,31697658049
sending a notification of the results if appropriate_network,13488,0,12,11,1,180379648,1343,2,140519468113120,4744434387,1551986215,9703424,1317494784,118558720,9,21920808160,84100218,33104573874,25559739,0,18351668743,31697662613
checking if there is a more critical commit we could work on_network,13781,0,13,11,1,180379648,1343,2,140519468089453,4744913910,1551986727,9703424,1317511168,118558720,6,21920813380,84100250,33104589804,25559764,0,18351675060,31697680914
disconnecting from the database_network,13783,0,13,11,1,180379648,1343,2,140519468089453,4744913910,1551986791,9703424,1317519360,118558720,5,21920814078,84100256,33104594632,25559770,0,18351675857,31697685859
running two hacks to avoid problems with ISS750 regressions and Cell MFC tests that have simdebug instruction set_host,13783,0,13,11,1,180379648,1343,2,140519468089453,4744913910,1551986934,9703424,1317523456,118558720,5,21920815602,84100266,33104599524,25559776,0,18351677529,31697686583
running another simple hack to avoid running tsts on debug builds_host,13803,0,13,11,1,180379648,1343,0,140519468267858,4744913910,1551987029,9703424,1317527552,118558720,6,21920817442,84100278,33104600332,25559780,0,18351679924,31697688395
checking if there is a more critical commit we could work on_network,14079,0,13,12,1,180379648,1343,2,140519468089453,4744927824,1551987307,9703424,1317543936,118558720,6,21920828031,84100342,33104604386,25559795,0,18351689841,31697694392
disconnecting from the database_network,14080,0,13,12,1,180379648,1343,2,140519468089453,4744927824,1551987371,9703424,1317548032,118558720,5,21920829439,84100349,33104605494,25559799,0,18351692667,31697695705
running two hacks to avoid problems with ISS750 regressions and Cell MFC tests that have simdebug instruction set_host,14080,0,13,12,1,180379648,1343,2,140519468089453,4744927824,1551987514,9703424,1317552128,118558720,5,21920832522,84100372,33104606666,25559803,0,18351694397,31697696949
running another simple hack to avoid running tsts on debug builds_host,14081,0,13,12,1,180379648,1343,2,140519468113616,4744927824,1551987609,9703424,1317556224,118558720,6,21920833964,84100381,33104607982,25559807,0,18351695765,31697700021
checking if there is a more critical commit we could work on_network,14374,0,13,12,1,180379648,1343,2,140519468089453,4744941738,1551987887,9703424,1317572608,118558720,6,21920840623,84100428,33104614076,25559824,0,18351702907,31697707050
disconnecting from the database_network,14375,0,13,12,1,180379648,1343,2,140519468089453,4744941738,1551987951,9703424,1317576704,118558720,5,21920842185,84100441,33104617034,25559829,0,18351703600,31697708883
running two hacks to avoid problems with ISS750 regressions and Cell MFC tests that have simdebug instruction set_host,14375,0,13,12,1,180379648,1343,2,140519468089453,4744941738,1551987951,9703424,1317576704,118558720,5,21920842905,84100449,33104617326,25559831,0,18351704472,31697708935
running another simple hack to avoid running tsts on debug builds_host,14375,0,13,12,1,180379648,1343,2,140519468089453,4744941738,1551988094,9703424,1317580800,118558720,5,21920844979,84100464,33104619162,25559835,0,18351705958,31697710699
checking if there is a more critical commit we could work on_network,14669,0,13,12,1,180379648,1343,3,140519468089453,4744955652,1551988459,9703424,1317601280,118558720,6,21920855200,84100536,33104627222,25559855,0,18351715328,31697723328
disconnecting from the database_network,14670,0,13,12,1,180379648,1343,3,140519468089453,4744955652,1551988523,9703424,1317605376,118558720,5,21920856345,84100545,33104629436,25559860,0,18351716850,31697725729
running two hacks to avoid problems with ISS750 regressions and Cell MFC tests that have simdebug instruction set_host,14670,0,13,12,1,180379648,1343,3,140519468089453,4744955652,1551988523,9703424,1317605376,118558720,5,21920857601,84100555,33104631714,25559865,0,18351716850,31697725781
running another simple hack to avoid running tsts on debug builds_host,14670,0,13,12,1,180379648,1343,3,140519468089453,4744955652,1551988667,9703424,1317609472,118558720,5,21920858409,84100563,33104634066,25559869,0,18351717330,31697728061
checking if there is a more critical commit we could work on_network,14954,0,14,12,1,180379648,1343,0,140519468089453,4744969566,1551988960,9703424,1317625856,118558720,6,21920869700,84100636,33104644351,25559898,0,18351728508,31697740025
disconnecting from the database_network,14963,0,14,12,1,180379648,1343,2,140519468089453,4744969566,1551989054,9703424,1317629952,118558720,6,21920870854,84100645,33104647093,25559903,0,18351729542,31697743283
running two hacks to avoid problems with ISS750 regressions and Cell MFC tests that have simdebug instruction set_host,14964,0,14,12,1,180379648,1343,2,140519468089453,4744969566,1551989119,9703424,1317634048,118558720,5,21920872177,84100654,33104649899,25559908,0,18351731326,31697746212
running another simple hack to avoid running tsts on debug builds_host,14964,0,14,12,1,180379648,1343,2,140519468089453,4744969566,1551989263,9703424,1317638144,118558720,5,21920875675,84100680,33104652849,25559913,0,18351733414,31697749072
checking the existence of lock file_host,14976,0,14,12,1,180379648,1343,2,140519468089453,4744969566,1551989425,9703424,1317646336,118558720,5,21920878477,84100696,33104655895,25559918,0,18351736282,31697755000
checking the space in worker temp directory_host,14976,0,14,12,1,180379648,1343,2,140519468089453,4744969566,1551989425,9703424,1317646336,118558720,5,21920879947,84100707,33104659009,25559923,0,18351736950,31697755052
running the test cases on the worker_host,15400,0,14,13,1,180379648,1343,1,140519468113120,4745687692,1551990683,9703424,1317666816,118558720,9,21920885886,84100749,33104673989,25559947,0,18351741333,31697769700
figuring out the result of the test_host,16588,0,14,14,1,180379648,1343,0,140519468089453,5924049632,1714436588,14499840,1480781824,153886720,5,21927125824,84154111,33220705267,25644492,0,18356965499,31808811226
calculating the time it took to run the test_host,16785,0,14,14,1,180379648,1343,0,140519468113120,5924054238,1714436867,14499840,1480794112,153890816,5,21927127092,84154118,33220706931,25644496,0,18356969433,31808815406
writing the results to the results table in database_network,17724,0,15,15,1,180379648,1343,2,140519468089453,5924102078,1714448389,14499840,1480822784,153894912,5,21927132882,84154148,33220712635,25644510,0,18356970901,31808818270
commiting to the results table in the database_network,17797,0,15,15,1,180379648,1343,0,140519468089453,5924102078,1714448475,14499840,1480826880,153894912,6,21927133492,84154153,33220714597,25644515,0,18356972549,31808821362
writing the results to the metrics table in database_network,17941,0,15,15,1,180379648,1343,0,140519468089453,5924181064,1714487300,14499840,1480880128,153894912,6,21927135658,84154170,33220718937,25644525,0,18357016371,31808869262
removing the temporary directory on worker_host,17941,0,15,15,1,180379648,1343,0,140519468089453,5924181064,1714487300,14499840,1480880128,153894912,6,21927136460,84154177,33220721211,25644530,0,18357016371,31808869314
exiting from the database after writing to the results table_network,18151,0,15,16,1,180379648,1343,3,140519468089453,5924184976,1714487584,14499840,1480892416,153894912,6,21927139786,84154197,33220728573,25644543,0,18357019293,31808876628
writing the results to the summary table in database_network,18169,0,15,16,1,180379648,1343,3,140519468089453,5924184976,1714487678,14499840,1480896512,153894912,5,21927141124,84154205,33220731223,25644548,0,18357021065,31808879401
commiting to the SUMMARY table in the database_network,18210,0,15,16,1,180379648,1343,3,140519468089453,5924184976,1714487835,14499840,1480900608,153894912,6,21927143081,84154216,33220734029,25644553,0,18357025686,31808885326
exiting from the database after writing to the SUMMARY table_network,18210,0,15,16,1,180379648,1343,2,140519468089453,5924184976,1714487915,14499840,1480904704,153894912,6,21927145096,84154225,33220736915,25644558,0,18357027509,31808888308
sending a notification of the results if appropriate_network,18210,0,15,16,1,180379648,1343,2,140519468089453,5924184976,1714488009,14499840,1480908800,153894912,5,21927146644,84154236,33220739839,25644562,0,18357029208,31808891373
checking if there is a more critical commit we could work on_network,18514,0,15,16,1,180379648,1343,3,140519468089453,5924664506,1714488636,14499840,1480929280,153894912,6,21927154119,84154286,33220751839,25644584,0,18357038315,31808908983
disconnecting from the database_network,18516,0,15,16,1,180379648,1343,3,140519468089453,5924664506,1714488701,14499840,1480933376,153894912,5,21927155119,84154297,33220755151,25644588,0,18357039707,31808912552
running two hacks to avoid problems with ISS750 regressions and Cell MFC tests that have simdebug instruction set_host,18516,0,15,16,1,180379648,1343,3,140519468089453,5924664506,1714488845,14499840,1480937472,153894912,5,21927156808,84154310,33220758667,25644594,0,18357040135,31808916052
running another simple hack to avoid running tsts on debug builds_host,18690,0,15,16,1,180379648,1343,0,140519468089453,5924666463,1714489067,14499840,1480949760,153894912,6,21927159110,84154324,33220771463,25644614,0,18357041711,31808924884
checking if there is a more critical commit we could work on_network,18799,0,15,16,1,180379648,1343,2,140519468089453,5924678420,1714489124,14499840,1480953856,153894912,6,21927161938,84154346,33220775903,25644624,0,18357046240,31808931453
disconnecting from the database_network,18808,0,15,16,1,180379648,1343,2,140519468089453,5924678420,1714489218,14499840,1480957952,153894912,6,21927163584,84154358,33220779875,25644630,0,18357047714,31808935873
running two hacks to avoid problems with ISS750 regressions and Cell MFC tests that have simdebug instruction set_host,18809,0,15,16,1,180379648,1343,2,140519468089453,5924678420,1714489283,14499840,1480962048,153894912,5,21927164843,84154366,33220783915,25644636,0,18357048858,31808939966
running another simple hack to avoid running tsts on debug builds_host,18809,0,15,16,1,180379648,1343,2,140519468089453,5924678420,1714489427,14499840,1480966144,153894912,5,21927167247,84154378,33220788111,25644642,0,18357050862,31808944002
checking the existence of lock file_host,18809,0,16,16,1,180379648,1343,2,140519468089453,5924678420,1714489523,14499840,1480970240,153894912,5,21927168259,84154389,33220792391,25644648,0,18357051446,31808948122
checking the space in worker temp directory_host,18830,0,16,16,1,180379648,1343,2,140519468113120,5924678420,1714489663,14499840,1480978432,153894912,5,21927170275,84154404,33220796735,25644654,0,18357053862,31808956462
running the test cases on the worker_host,18896,0,16,16,1,180379648,1343,0,140519468089453,5924688465,1714489809,14499840,1480978432,153894912,5,21927171109,84154408,33220801085,25644659,0,18357054796,31808956514
figuring out the result of the test_host,20472,0,16,17,1,180379648,1343,2,140519468089453,6663585580,1772054622,15876096,1538867200,154750976,5,21930889047,84179304,33280267713,25686111,0,18360284902,31865860646
calculating the time it took to run the test_host,20604,0,16,17,1,180379648,1343,2,140519468089453,6663590188,1772054828,15876096,1538875392,154755072,5,21930890940,84179320,33280270615,25686116,0,18360286185,31865863458
writing the results to the results table in database_network,21706,0,17,18,1,180379648,1343,2,140519468089453,6663638371,1772066862,15876096,1538904064,154759168,6,21930894794,84179346,33280279067,25686132,0,18360291001,31865875834
commiting to the results table in the database_network,21835,0,17,18,1,180379648,1343,2,140519468089453,6663704825,1772099335,15876096,1538945024,154759168,6,21930897878,84179365,33280288523,25686144,0,18360328345,31865917374
writing the results to the metrics table in database_network,21846,0,17,18,1,180379648,1343,2,140519468089453,6663704825,1772099421,15876096,1538949120,154759168,6,21930898618,84179370,33280288815,25686146,0,18360329153,31865920730
removing the temporary directory on worker_host,22050,0,17,18,1,180379648,1343,2,140519468089453,6663708737,1772099705,15876096,1538961408,154767360,6,21930901356,84179388,33280299257,25686159,0,18360331949,31865931456
exiting from the database after writing to the results table_network,22071,0,17,18,1,180379648,1343,2,140519468089453,6663708737,1772099799,15876096,1538965504,154767360,5,21930902506,84179399,33280303279,25686166,0,18360332642,31865935401
writing the results to the summary table in database_network,22071,0,17,18,1,180379648,1343,2,140519468089453,6663708737,1772099799,15876096,1538965504,154767360,5,21930903186,84179405,33280307171,25686172,0,18360332642,31865935453
commiting to the SUMMARY table in the database_network,22112,0,17,18,1,180379648,1343,0,140519468089453,6663708737,1772099956,15876096,1538969600,154767360,6,21930905150,84179418,33280311779,25686182,0,18360337357,31865943044
exiting from the database after writing to the SUMMARY table_network,22112,0,17,18,1,180379648,1343,2,140519468089453,6663708737,1772100130,15876096,1538977792,154767360,5,21930907560,84179435,33280315907,25686188,0,18360339628,31865951475
sending a notification of the results if appropriate_network,22112,0,17,18,1,180379648,1343,2,140519468089453,6663708737,1772100130,15876096,1538977792,154767360,5,21930908598,84179445,33280320131,25686194,0,18360340108,31865951527
